date	open	high	low	close	volume
11/16/12	23.87387074	23.90072638	23.57846851	23.739597	
11/19/12	23.99023918	23.99023918	23.69483697	23.927579	
11/20/12	23.95443481	23.99024024	23.68588644	23.909676	
11/21/12	23.90967524	24.32144891	23.8738698	24.124515	
11/23/12	24.37515873	24.85854418	24.34830488	24.795884	
11/26/12	24.65265852	24.68846396	24.32144908	24.518383	
11/27/12	24.4915302	24.50943158	24.20507957	24.240885	
11/28/12	24.17822373	24.51838296	23.96338575	24.49153	
11/29/12	24.26774032	24.49152987	24.04395076	24.124515	
11/30/12	24.21402925	24.28564191	23.71274153	23.829113	
12/3/12	23.97233828	24.00814371	23.63217725	23.659032	
12/4/12	23.72169267	23.83806235	23.57846736	23.605323	
12/5/12	23.61427322	24.10661114	23.50685513	23.87387	
12/6/12	23.99919076	24.15136855	23.82016091	23.927579	
12/7/12	24.00814386	24.00814386	23.60532355	23.685886	
12/10/12	23.77540109	24.14241596	23.73959566	24.115563	
12/11/12	24.21402938	24.6078999	24.21402938	24.455723	
12/12/12	24.64370678	24.72427102	24.24088468	24.38411	
12/13/12	24.45572233	24.63475397	24.12451469	24.26774	
12/14/12	24.26774127	24.28564264	23.90072638	23.999192	
12/17/12	23.98128984	24.36620609	23.88282154	24.258788	
12/18/12	24.39306184	24.73322108	24.29459354	24.67056	
12/19/12	24.78693293	24.82273836	24.3930624	24.446771	
12/20/12	24.49153026	24.77798	24.30354613	24.77798	
12/21/12	24.572094	24.60789943	24.16927191	24.572094	
12/24/12	24.34830494	24.39306196	24.1692724	24.222981	
12/26/12	24.1961279	24.3483048	23.90072568	24.043951	
12/27/12	24.07080392	24.24983647	23.78435419	24.133465	
12/28/12	23.90967532	24.07975627	23.76645	23.76645	
12/31/12	23.8022579	23.96338639	23.60532398	23.909676	
1/2/13	24.39306156	24.82273751	24.30354574	24.724271	
1/3/13	24.73322124	24.7511253	24.31249776	24.393062	
1/4/13	24.41096486	24.47362594	23.92757942	23.936531	
1/7/13	23.96338576	24.06185227	23.8470143	23.891774	
1/8/13	23.94548254	23.98128976	23.68588576	23.76645	
1/9/13	23.91862637	23.94548202	23.77540106	23.900725	
1/10/13	23.85596696	24.15136918	23.53371089	23.685886	
1/11/13	23.71274121	24.10661082	23.52475888	24.017095	
1/14/13	24.07975648	24.24088496	23.95443432	24.070804	
1/15/13	24.01709576	24.42886945	24.01709576	24.357255	
1/16/13	24.30354551	24.37515817	24.17822336	24.205079	
1/17/13	24.3393534	24.58999592	24.22298104	24.393062	
1/18/13	24.25878826	24.42886922	24.20507967	24.393062	
1/22/13	24.43781884	24.57209436	24.16927227	24.303546	
1/23/13	24.34830413	24.74217196	24.34830413	24.715319	
1/24/13	24.79588387	25.12709152	24.58999568	24.733221	
1/25/13	24.68846442	25.27031728	24.51838346	24.957011	
1/28/13	25.07338182	25.27031663	24.84959227	24.983866	
1/29/13	24.90330194	25.18080009	24.70636713	25.073382	
1/30/13	25.07338232	25.2345117	24.84959276	24.930157	
1/31/13	24.87644779	25.03757448	24.52733519	24.572094	
2/1/13	24.76902885	25.1091881	24.66160897	25.00177	
2/4/13	24.94806003	25.08233286	24.54523794	24.563142	
2/5/13	24.72427088	24.76007631	24.49152974	24.616851	
2/6/13	24.50943143	24.65265854	24.39306176	24.473626	
2/7/13	24.48257718	24.51838261	24.25878763	24.419917	
2/8/13	24.48257824	24.80483432	24.44677102	24.661609	
2/11/13	24.75112488	24.9928176	24.61685114	24.939109	
2/12/13	24.957011	25.06443088	24.84064132	24.957011	
2/13/13	25.00176928	25.16289866	24.95701048	25.091286	
2/14/13	24.99281812	25.11813937	24.9480611	25.100238	
2/15/13	25.10023764	25.20765573	24.95701054	25.073382	
2/19/13	25.16363818	25.35317868	25.09143261	25.317075	
2/20/13	25.38928028	25.45246195	25.11851032	25.154614	
2/21/13	25.03727838	25.03727838	24.57696793	24.811636	
2/22/13	24.98312444	25.05533	24.80261053	25.05533	
2/25/13	25.24486891	25.31707448	24.703329	24.703329	
2/26/13	24.71235289	24.91091909	24.67625101	24.703329	
2/27/13	24.74845678	25.27194712	24.66722552	25.100458	
2/28/13	25.16363756	25.24486882	25.03727873	25.091432	
3/1/13	25.01922621	25.25389518	24.8387132	25.226819	
3/4/13	25.13656114	25.407332	25.00117662	25.407332	
3/5/13	25.53369373	25.75933612	25.41635878	25.587847	
3/6/13	25.46148544	25.47953773	25.07338235	25.353178	
3/7/13	25.37123072	25.52466754	25.28097286	25.398306	
3/8/13	25.49758938	25.56979495	25.23584332	25.271947	
3/11/13	25.21779387	25.24486915	24.97409919	25.154614	
3/12/13	25.12753613	25.22681968	24.94702132	25.190716	
3/13/13	25.15461343	25.28999795	25.04630418	25.199741	
3/14/13	25.27194717	25.41635829	25.2087673	25.398306	
3/15/13	25.2990253	25.41635844	25.25389592	25.308051	
3/18/13	25.1636378	25.52466742	25.10045793	25.362204	
3/19/13	25.38025673	25.47051188	25.29902547	25.43441	
3/20/13	25.57882039	25.71420582	25.43440927	25.560769	
3/21/13	25.37123	25.59687238	25.31707402	25.37123	
3/22/13	25.44343573	25.57882026	25.36220357	25.497589	
3/25/13	25.54271683	25.58784621	25.23584319	25.416358	
3/26/13	25.48856356	25.57882052	25.37123043	25.416358	
3/27/13	25.39830521	25.67810356	25.34415194	25.605898	
3/28/13	25.56076894	25.86764257	25.50661476	25.822515	
4/1/13	25.84959028	25.86764257	25.59687262	25.822515	
4/2/13	25.8044633	26.03913138	25.74128343	25.994002	
4/3/13	25.94887411	26.12938892	25.75933541	25.777385	
4/4/13	25.62394849	25.8225156	25.51564105	25.813489	
4/5/13	25.47051083	25.97595156	25.37122999	25.903746	
4/8/13	25.93082273	25.93082273	25.69615375	25.804463	
4/9/13	25.93082193	26.91462269	25.88569346	26.725084	
4/10/13	26.68898074	27.36590788	26.64385226	27.329806	
