Date	Open	High	Low	Close	Adj Close	Volume
2020-08-28	0.730000	0.760000	0.700000	0.750000	0.750000	191400
2020-08-31	0.750000	0.800000	0.670000	0.700000	0.700000	331700
2020-09-01	0.700000	0.700000	0.660000	0.680000	0.680000	145000
2020-09-02	0.700000	0.770000	0.670000	0.750000	0.750000	160700
2020-09-03	0.750000	0.850000	0.740000	0.770000	0.770000	284900
2020-09-04	0.730000	0.840000	0.710000	0.760000	0.760000	188400
2020-09-08	0.760000	0.780000	0.750000	0.770000	0.770000	103500
2020-09-09	0.790000	0.790000	0.730000	0.740000	0.740000	87600
2020-09-10	0.760000	0.790000	0.710000	0.720000	0.720000	42600
2020-09-11	0.710000	0.760000	0.700000	0.760000	0.760000	120700
2020-09-14	0.750000	0.760000	0.700000	0.720000	0.720000	156300
2020-09-15	0.690000	0.770000	0.690000	0.730000	0.730000	115700
2020-09-16	0.700000	0.770000	0.690000	0.740000	0.740000	123400
2020-09-17	0.700000	0.770000	0.700000	0.760000	0.760000	93400
2020-09-18	0.770000	0.770000	0.690000	0.720000	0.720000	128100
2020-09-21	0.670000	0.760000	0.670000	0.700000	0.700000	82400
2020-09-22	0.750000	0.750000	0.690000	0.740000	0.740000	81700
2020-09-23	0.760000	0.760000	0.700000	0.720000	0.720000	68200
2020-09-24	0.700000	0.740000	0.690000	0.730000	0.730000	136300
2020-09-25	0.730000	0.750000	0.690000	0.730000	0.730000	63900
2020-09-28	0.700000	0.730000	0.670000	0.680000	0.680000	126000
2020-09-29	0.680000	0.750000	0.680000	0.740000	0.740000	141900
2020-09-30	0.760000	0.760000	0.720000	0.750000	0.750000	39700
2020-10-01	0.780000	0.820000	0.760000	0.810000	0.810000	233300
2020-10-02	0.810000	0.860000	0.740000	0.810000	0.810000	136100
2020-10-05	0.830000	0.850000	0.810000	0.820000	0.820000	168900
2020-10-06	0.820000	0.850000	0.820000	0.850000	0.850000	121600
2020-10-07	0.810000	0.860000	0.810000	0.860000	0.860000	131200
2020-10-08	0.860000	0.860000	0.820000	0.850000	0.850000	91200
2020-10-09	0.850000	0.850000	0.760000	0.810000	0.810000	141100
2020-10-12	0.780000	0.810000	0.730000	0.740000	0.740000	186500
2020-10-13	0.780000	0.780000	0.740000	0.760000	0.760000	78100
2020-10-14	0.710000	0.780000	0.710000	0.750000	0.750000	62000
2020-10-15	0.750000	0.750000	0.680000	0.740000	0.740000	259500
2020-10-16	0.720000	0.740000	0.700000	0.720000	0.720000	98000
2020-10-19	0.700000	0.740000	0.690000	0.690000	0.690000	128200
2020-10-20	0.680000	0.700000	0.650000	0.660000	0.660000	195600
2020-10-21	0.660000	0.660000	0.570000	0.570000	0.570000	611700
2020-10-22	0.580000	0.590000	0.470000	0.530000	0.530000	859300
2020-10-23	0.510000	0.610000	0.510000	0.610000	0.610000	133800
2020-10-26	0.600000	0.660000	0.530000	0.550000	0.550000	174300
2020-10-27	0.580000	0.620000	0.580000	0.620000	0.620000	169700
2020-10-28	0.620000	0.620000	0.560000	0.580000	0.580000	121300
2020-10-29	0.590000	0.600000	0.560000	0.600000	0.600000	69500
2020-10-30	0.580000	0.610000	0.560000	0.590000	0.590000	94600
2020-11-02	0.610000	0.610000	0.560000	0.580000	0.580000	75400
2020-11-03	0.600000	0.600000	0.560000	0.600000	0.600000	95800
2020-11-04	0.600000	0.610000	0.550000	0.600000	0.600000	73700
2020-11-05	0.600000	0.660000	0.590000	0.660000	0.660000	87000
2020-11-06	0.650000	0.650000	0.630000	0.650000	0.650000	68400
2020-11-09	0.620000	0.660000	0.610000	0.630000	0.630000	134900
2020-11-10	0.650000	0.650000	0.600000	0.630000	0.630000	74400
2020-11-11	0.630000	0.640000	0.600000	0.610000	0.610000	102300
2020-11-12	0.600000	0.610000	0.550000	0.560000	0.560000	130400
2020-11-13	0.600000	0.600000	0.500000	0.540000	0.540000	178200
2020-11-16	0.540000	0.590000	0.540000	0.590000	0.590000	162700
2020-11-17	0.590000	0.590000	0.550000	0.560000	0.560000	95000
2020-11-18	0.550000	0.590000	0.550000	0.560000	0.560000	86700
